mission_time	mission_day	mission_app	mission_type	mission_startday	login_day	login_app	login_time	login_day_tapp	login_app_tapp	login_time_tapp	kyumin	kyumin_tapp	spend_day	spend_app	spend_time	spend_coin	spend_day_tapp	spend_app_tapp	spend_time_tapp	spend_coin_tapp	reg_period	flag	
1	1	1	1	33	36	3	72	1	1	1	0	1	13	2	47	59600	0	0	0	0	1156	1	
1	1	1	1	10	30	2	31	0	0	0	0	1	0	0	0	0	0	0	0	0	122	1	
1	1	1	1	14	8	17	28	8	2	9	0	0	1	1	4	2300	0	0	0	0	1859	1	
1	1	1	1	2	13	11	53	11	3	20	0	0	5	5	16	7490	1	1	7	950	815	1	
1	1	1	1	19	34	4	41	34	3	36	0	0	10	3	50	32810	5	1	14	22550	893	1	
1	1	1	1	3	5	1	9	5	1	9	1	1	0	0	0	0	0	0	0	0	1	1	
1	1	1	1	1	36	9	47	4	2	4	0	0	0	0	0	0	0	0	0	0	959	1	
1	1	1	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	
2	1	1	2	21	12	8	17	5	3	7	0	1	2	2	2	20	1	1	1	10	444	1	
1	1	1	1	23	9	3	15	8	1	13	0	1	1	1	1	100	1	1	1	100	578	1	
